Date,Open,High,Low,Close,P/E,P/B,Div Yield %
05-07-2021,15793.4,15845.95,15762.05,15834.35,28.53,4.27,1.23
06-07-2021,15813.75,15914.2,15801,15818.25,28.5,4.26,1.1
07-07-2021,15819.6,15893.55,15779.7,15879.65,28.62,4.28,1.1
08-07-2021,15855.4,15885.75,15682.9,15727.9,28.34,4.24,1.14
09-07-2021,15688.25,15730.85,15632.75,15689.8,28.27,4.23,1.09
12-07-2021,15766.8,15789.2,15644.75,15692.6,28.21,4.23,1.09
13-07-2021,15794,15820.8,15744.6,15812.35,28.43,4.26,1.08
14-07-2021,15808.7,15877.35,15764.2,15853.95,28.5,4.27,1.09
15-07-2021,15872.15,15952.35,15855,15924.2,28.63,4.29,1.1
16-07-2021,15958.35,15962.25,15882.6,15923.4,28.53,4.29,1.09
19-07-2021,15754.5,15836.9,15707.5,15752.4,28.23,4.25,1.11
20-07-2021,15703.95,15728.45,15578.55,15632.1,27.89,4.21,1.11
22-07-2021,15736.6,15834.8,15726.4,15824.05,28.22,4.26,1.11
23-07-2021,15856.8,15899.8,15768.4,15856.05,28.28,4.16,1.13
26-07-2021,15849.3,15893.35,15797,15824.45,28.13,4.13,1.13
27-07-2021,15860.5,15881.55,15701,15746.45,27.45,4.11,1.14
28-07-2021,15761.55,15767.5,15513.45,15709.4,26.98,4.1,1.18
29-07-2021,15762.7,15817.35,15737.8,15778.45,27.08,4.12,1.19
30-07-2021,15800.6,15862.8,15744.85,15763.05,27.01,4.12,1.18
02-08-2021,15874.9,15892.9,15834.65,15885.15,27.21,4.15,1.17
03-08-2021,15951.55,16146.9,15914.35,16130.75,27.31,4.21,1.15
04-08-2021,16195.25,16290.2,16176.15,16258.8,27.39,4.25,1.14
05-08-2021,16288.95,16349.45,16210.3,16294.6,26.72,4.25,1.14
06-08-2021,16304.4,16336.75,16223.3,16238.2,26.51,4.24,1.13
09-08-2021,16281.35,16320.75,16179.05,16258.25,26.53,4.25,1.13
10-08-2021,16274.8,16359.25,16202.25,16280.1,26.35,4.24,1.13
11-08-2021,16327.3,16338.75,16162.55,16282.25,26.34,4.24,1.13
12-08-2021,16303.65,16375.5,16286.9,16364.4,26.25,4.26,1.14
13-08-2021,16385.7,16543.6,16376.3,16529.1,26.51,4.3,1.1
16-08-2021,16518.4,16589.4,16480.75,16563.05,25.62,4.31,1.1
17-08-2021,16545.25,16628.55,16495.4,16614.6,25.46,4.21,1.1
18-08-2021,16691.95,16701.85,16535.85,16568.85,25.39,4.19,1.1
20-08-2021,16382.5,16509.55,16376.05,16450.5,25.21,4.16,1.11
23-08-2021,16592.25,16592.5,16395.7,16496.45,25.28,4.18,1.11
24-08-2021,16561.4,16647.1,16495.3,16624.6,25.47,4.21,1.1
25-08-2021,16654,16712.45,16617.5,16634.65,25.49,4.21,1.1
26-08-2021,16627.95,16683.7,16603.4,16636.9,25.49,4.21,1.08
27-08-2021,16642.55,16722.05,16565.6,16705.2,25.6,4.23,1.08
30-08-2021,16775.85,16951.5,16764.85,16931.05,25.94,4.29,1.06
31-08-2021,16947.5,17153.5,16915.85,17132.2,26.25,4.33,1.05
01-09-2021,17185.6,17225.75,17055.05,17076.25,26.17,4.32,1.05
02-09-2021,17095.4,17245.5,17059.7,17234.15,26.41,4.36,1.04
03-09-2021,17262.45,17340.1,17212.2,17323.6,26.54,4.38,1.03
06-09-2021,17399.35,17429.55,17345.55,17377.8,26.63,4.39,1.03
07-09-2021,17401.55,17436.5,17287,17362.1,26.6,4.39,1.03
08-09-2021,17375.75,17383.4,17254.2,17353.5,26.59,4.39,1.07
09-09-2021,17312.85,17379.65,17302.7,17369.25,26.61,4.39,1.07
13-09-2021,17363.55,17378.35,17269.15,17355.3,26.59,4.39,1.07
14-09-2021,17420.35,17438.55,17367.05,17380,26.63,4.39,1.07
15-09-2021,17387.65,17532.7,17386.9,17519.45,26.84,4.43,1.06
16-09-2021,17539.2,17644.6,17510.45,17629.5,26.99,4.45,1.12
17-09-2021,17709.65,17792.95,17537.65,17585.15,26.93,4.44,1.13
20-09-2021,17443.85,17622.75,17361.8,17396.9,26.64,4.4,1.14
21-09-2021,17450.5,17578.35,17326.1,17562,26.89,4.44,1.13
22-09-2021,17580.9,17610.45,17524,17546.65,26.87,4.43,1.13
23-09-2021,17670.85,17843.9,17646.55,17822.95,27.29,4.5,1.11
24-09-2021,17897.45,17947.65,17819.4,17853.2,27.34,4.47,1.11
27-09-2021,17932.2,17943.5,17802.9,17855.1,27.33,4.47,1.15
28-09-2021,17906.45,17912.85,17576.1,17748.6,27.16,4.44,1.16
29-09-2021,17657.95,17781.75,17608.15,17711.3,27.11,4.43,1.16
30-09-2021,17718.9,17742.15,17585.35,17618.15,26.98,4.41,1.17
01-10-2021,17531.9,17557.15,17452.9,17532.05,26.84,4.39,1.17
04-10-2021,17615.55,17750.9,17581.35,17691.25,27.09,4.43,1.16
05-10-2021,17661.35,17833.45,17640.9,17822.3,27.29,4.46,1.16
06-10-2021,17861.5,17884.6,17613.15,17646,27.02,4.42,1.17
07-10-2021,17810.55,17857.55,17763.8,17790.35,27.24,4.45,1.16
08-10-2021,17886.85,17941.85,17840.35,17895.2,27.4,4.48,1.15
11-10-2021,17867.55,18041.95,17839.1,17945.95,27.48,4.49,1.15
12-10-2021,17915.8,18008.65,17864.95,17991.95,27.49,4.51,1.14
13-10-2021,18097.85,18197.8,18050.75,18161.75,27.75,4.55,1.13
14-10-2021,18272.85,18350.75,18248.7,18338.55,28.02,4.59,1.12
18-10-2021,18500.1,18543.15,18445.3,18477.05,28.17,4.63,1.11
19-10-2021,18602.35,18604.45,18377.7,18418.75,27.97,4.61,1.07
20-10-2021,18439.9,18458.3,18209.35,18266.6,27.72,4.57,1.08
21-10-2021,18382.7,18384.2,18048,18178.1,27.58,4.55,1.1
22-10-2021,18230.7,18314.25,18034.35,18114.9,27.48,4.54,1.1
25-10-2021,18229.5,18241.4,17968.5,18125.4,27.29,4.54,1.04
26-10-2021,18154.5,18310.45,18099.3,18268.4,27.16,4.57,1.12
27-10-2021,18295.85,18342.05,18167.9,18210.95,27.06,4.56,1.13
28-10-2021,18187.65,18190.7,17799.45,17857.25,26.39,4.47,1.13
29-10-2021,17833.05,17915.85,17613.1,17671.65,25.71,4.43,1.13
01-11-2021,17783.15,17954.1,17697.1,17929.65,26.07,4.49,1.11
02-11-2021,17970.9,18012.25,17847.6,17888.95,25.95,4.48,1.13
03-11-2021,17947.95,17988.75,17757.95,17829.2,25.98,4.46,1.13
04-11-2021,17935.05,17947.55,17900.6,17916.8,26.11,4.49,1.1
08-11-2021,18040.2,18087.8,17836.1,18068.55,26.25,4.52,1.09
